IP:PORT, LOSS, DELAY
162.159.192.194:942,0.00%,154 ms
162.159.192.93:942,0.00%,155 ms
162.159.192.8:7152,0.00%,155 ms
162.159.195.10:1387,0.00%,155 ms
162.159.192.5:7152,0.00%,155 ms
162.159.192.32:7103,0.00%,155 ms
162.159.195.171:955,0.00%,155 ms
162.159.195.64:968,0.00%,155 ms
162.159.195.235:988,0.00%,155 ms
162.159.195.96:1074,0.00%,155 ms
162.159.192.218:928,0.00%,155 ms
162.159.192.192:942,0.00%,155 ms
162.159.195.154:908,0.00%,155 ms
162.159.192.200:1701,0.00%,156 ms
162.159.192.99:2408,0.00%,156 ms
162.159.195.100:1074,0.00%,156 ms
162.159.192.70:1701,0.00%,156 ms
162.159.195.200:1018,0.00%,156 ms
162.159.192.154:854,0.00%,156 ms
162.159.192.120:1014,0.00%,156 ms
162.159.192.182:4177,0.00%,156 ms
162.159.195.49:939,0.00%,156 ms
162.159.192.222:3581,0.00%,156 ms
162.159.195.17:1387,0.00%,156 ms
162.159.195.190:1018,0.00%,156 ms
162.159.192.110:903,0.00%,156 ms
162.159.195.122:1701,0.00%,156 ms
162.159.195.20:1387,0.00%,156 ms
162.159.195.104:1014,0.00%,156 ms
162.159.192.57:1701,0.00%,156 ms
162.159.192.32:7152,0.00%,156 ms
162.159.195.226:946,0.00%,156 ms
162.159.195.217:946,0.00%,156 ms
162.159.195.244:988,0.00%,156 ms
162.159.192.148:854,0.00%,156 ms
162.159.192.76:4198,0.00%,156 ms
162.159.195.141:908,0.00%,156 ms
162.159.195.240:2506,0.00%,157 ms
162.159.195.136:908,0.00%,157 ms
162.159.195.15:1387,0.00%,157 ms
162.159.192.45:7152,0.00%,157 ms
162.159.195.97:1074,0.00%,157 ms
162.159.195.164:4177,0.00%,157 ms
162.159.192.126:903,0.00%,157 ms
162.159.195.119:1014,0.00%,157 ms
162.159.192.45:7103,0.00%,157 ms
162.159.195.12:8854,0.00%,158 ms
162.159.192.49:7152,0.00%,158 ms
162.159.192.131:854,0.00%,158 ms
162.159.192.235:2506,0.00%,158 ms
162.159.195.214:946,0.00%,158 ms
162.159.195.117:1701,0.00%,158 ms
162.159.195.51:1010,0.00%,158 ms
162.159.192.241:2506,0.00%,158 ms
162.159.195.4:854,0.00%,158 ms
162.159.195.6:903,0.00%,158 ms
162.159.192.160:1002,0.00%,158 ms
162.159.192.76:1701,0.00%,158 ms
162.159.195.85:1074,0.00%,158 ms
162.159.195.163:4177,0.00%,158 ms
162.159.195.119:1701,0.00%,158 ms
162.159.195.51:939,0.00%,158 ms
162.159.192.209:1701,0.00%,158 ms
162.159.192.185:942,0.00%,158 ms
162.159.195.162:4177,0.00%,158 ms
162.159.195.122:1014,0.00%,158 ms
162.159.195.140:908,0.00%,158 ms
162.159.192.120:903,0.00%,158 ms
162.159.192.225:2506,0.00%,158 ms
162.159.192.65:1701,0.00%,158 ms
162.159.192.179:4177,0.00%,158 ms
162.159.195.23:1387,0.00%,158 ms
162.159.195.40:939,0.00%,158 ms
162.159.195.2:854,0.00%,158 ms
162.159.192.84:1701,0.00%,158 ms
162.159.192.167:1387,0.00%,158 ms
162.159.192.30:7103,0.00%,158 ms
162.159.195.56:1180,0.00%,158 ms
162.159.192.186:942,0.00%,158 ms
162.159.192.75:4198,0.00%,158 ms
162.159.195.151:908,0.00%,159 ms
162.159.192.145:1002,0.00%,159 ms
162.159.192.245:2506,0.00%,159 ms
162.159.195.62:1180,0.00%,159 ms
162.159.192.73:4198,0.00%,159 ms
162.159.195.1:903,0.00%,159 ms
162.159.192.137:1002,0.00%,159 ms
162.159.192.247:1014,0.00%,159 ms
162.159.195.153:891,0.00%,159 ms
162.159.195.156:955,0.00%,159 ms
162.159.195.189:7156,0.00%,159 ms
162.159.195.129:891,0.00%,159 ms
162.159.195.174:955,0.00%,159 ms
162.159.195.189:1018,0.00%,159 ms
162.159.192.172:880,0.00%,159 ms
162.159.192.202:1701,0.00%,159 ms
162.159.192.159:854,0.00%,159 ms
162.159.192.226:3581,0.00%,159 ms
162.159.195.186:1018,0.00%,159 ms
162.159.195.67:1180,0.00%,159 ms
162.159.192.172:1387,0.00%,159 ms
162.159.195.214:988,0.00%,159 ms
162.159.195.55:1180,0.00%,159 ms
162.159.195.33:1010,0.00%,159 ms
162.159.195.75:3854,0.00%,159 ms
162.159.195.223:988,0.00%,159 ms
162.159.195.37:939,0.00%,159 ms
162.159.192.52:4198,0.00%,159 ms
162.159.192.125:903,0.00%,159 ms
162.159.195.89:1074,0.00%,159 ms
162.159.195.172:4177,0.00%,159 ms
162.159.195.21:8854,0.00%,159 ms
162.159.192.62:1701,0.00%,159 ms
162.159.192.128:1014,0.00%,159 ms
162.159.195.143:891,0.00%,159 ms
162.159.195.238:2506,0.00%,159 ms
162.159.192.74:1701,0.00%,159 ms
162.159.192.196:942,0.00%,159 ms
162.159.195.76:3854,0.00%,159 ms
162.159.195.3:854,0.00%,159 ms
162.159.192.233:2506,0.00%,159 ms
162.159.195.150:908,0.00%,159 ms
162.159.195.253:988,0.00%,159 ms
162.159.195.162:955,0.00%,159 ms
162.159.195.39:1010,0.00%,159 ms
162.159.192.30:7152,0.00%,159 ms
162.159.192.252:2506,0.00%,159 ms
162.159.192.26:7103,0.00%,159 ms
162.159.192.195:4177,0.00%,159 ms
162.159.195.245:2506,0.00%,159 ms
162.159.192.178:4177,0.00%,159 ms
162.159.192.175:4177,0.00%,159 ms
162.159.195.23:8854,0.00%,159 ms
162.159.192.229:3581,0.00%,159 ms
162.159.192.39:7103,0.00%,159 ms
162.159.195.16:8854,0.00%,159 ms
162.159.195.234:988,0.00%,159 ms
162.159.192.254:1014,0.00%,159 ms
162.159.192.69:4198,0.00%,159 ms
162.159.195.136:891,0.00%,159 ms
162.159.195.8:1387,0.00%,159 ms
162.159.192.61:1701,0.00%,159 ms
162.159.192.197:1701,0.00%,159 ms
162.159.192.248:1014,0.00%,159 ms
162.159.195.152:891,0.00%,159 ms
162.159.192.90:1701,0.00%,159 ms
162.159.195.102:1074,0.00%,159 ms
162.159.195.245:988,0.00%,159 ms
162.159.192.195:942,0.00%,159 ms
162.159.192.111:1014,0.00%,159 ms
162.159.192.85:4198,0.00%,159 ms
162.159.195.14:1387,0.00%,159 ms
162.159.195.247:2506,0.00%,159 ms
162.159.195.42:939,0.00%,159 ms
162.159.195.183:7156,0.00%,159 ms
162.159.192.11:7103,0.00%,159 ms
162.159.195.62:968,0.00%,159 ms
162.159.195.101:3854,0.00%,159 ms
162.159.192.36:7103,0.00%,159 ms
162.159.195.76:1074,0.00%,159 ms
162.159.195.212:946,0.00%,159 ms
162.159.192.196:4177,0.00%,159 ms
162.159.192.40:7152,0.00%,159 ms
162.159.195.58:968,0.00%,159 ms
162.159.192.65:4198,0.00%,159 ms
162.159.192.150:1002,0.00%,160 ms
162.159.192.22:7152,0.00%,160 ms
162.159.195.153:908,0.00%,160 ms
162.159.195.234:946,0.00%,160 ms
162.159.195.40:1010,0.00%,160 ms
162.159.195.247:988,0.00%,160 ms
162.159.192.151:1002,0.00%,160 ms
162.159.192.69:1701,0.00%,160 ms
162.159.192.226:2506,0.00%,160 ms
162.159.195.161:4177,0.00%,160 ms
162.159.195.12:1387,0.00%,160 ms
162.159.195.128:891,0.00%,160 ms
162.159.192.21:7103,0.00%,160 ms
162.159.192.211:928,0.00%,160 ms
162.159.192.88:4198,0.00%,160 ms
162.159.192.104:2408,0.00%,160 ms
162.159.195.146:891,0.00%,160 ms
162.159.192.41:7103,0.00%,160 ms
162.159.192.13:7152,0.00%,160 ms
162.159.192.115:903,0.00%,160 ms
162.159.192.49:7103,0.00%,160 ms
162.159.192.115:1014,0.00%,160 ms
162.159.192.13:7103,0.00%,160 ms
162.159.195.156:4177,0.00%,160 ms
162.159.195.150:891,0.00%,160 ms
162.159.195.46:1010,0.00%,160 ms
162.159.192.168:880,0.00%,160 ms
162.159.195.135:891,0.00%,160 ms
162.159.192.27:7152,0.00%,160 ms
162.159.195.101:1074,0.00%,160 ms
162.159.192.225:3581,0.00%,160 ms
162.159.192.15:7152,0.00%,160 ms
162.159.195.94:1074,0.00%,160 ms
162.159.192.163:880,0.00%,160 ms
162.159.192.232:1014,0.00%,160 ms
162.159.195.190:7156,0.00%,160 ms
162.159.192.100:2408,0.00%,160 ms
162.159.195.169:4177,0.00%,160 ms
162.159.192.21:7152,0.00%,160 ms
162.159.192.221:2506,0.00%,160 ms
162.159.195.202:7156,0.00%,160 ms
162.159.192.205:1701,0.00%,160 ms
162.159.195.164:955,0.00%,160 ms
162.159.192.230:1014,0.00%,160 ms
162.159.192.44:7103,0.00%,160 ms
162.159.192.175:942,0.00%,160 ms
162.159.192.151:854,0.00%,160 ms
162.159.192.83:4198,0.00%,160 ms
162.159.195.166:4177,0.00%,161 ms
162.159.192.208:1701,0.00%,161 ms
162.159.195.67:968,0.00%,161 ms
162.159.195.227:988,0.00%,161 ms
162.159.195.46:939,0.00%,161 ms
162.159.192.66:1701,0.00%,161 ms
162.159.195.75:1074,0.00%,161 ms
162.159.192.157:1002,0.00%,161 ms
162.159.195.47:1010,0.00%,161 ms
162.159.192.94:942,0.00%,161 ms
162.159.192.148:1002,0.00%,161 ms
162.159.192.157:854,0.00%,161 ms
162.159.192.193:942,0.00%,161 ms
162.159.192.252:1014,0.00%,161 ms
162.159.195.19:1387,0.00%,161 ms
162.159.195.215:946,0.00%,161 ms
162.159.192.108:2408,0.00%,161 ms
162.159.195.16:1387,0.00%,161 ms
162.159.195.44:1010,0.00%,161 ms
162.159.195.239:2506,0.00%,161 ms
162.159.192.84:4198,0.00%,161 ms
162.159.195.128:908,0.00%,161 ms
162.159.195.184:7156,0.00%,161 ms
162.159.192.160:854,0.00%,161 ms
162.159.192.72:1701,0.00%,161 ms
162.159.195.113:1014,0.00%,161 ms
162.159.195.158:955,0.00%,161 ms
162.159.195.25:1387,0.00%,161 ms
162.159.192.58:4198,0.00%,161 ms
162.159.192.110:1014,0.00%,161 ms
162.159.195.177:4177,0.00%,161 ms
162.159.195.88:3854,0.00%,161 ms
162.159.195.146:908,0.00%,161 ms
162.159.195.231:988,0.00%,161 ms
162.159.192.233:1014,0.00%,161 ms
162.159.192.141:1002,0.00%,161 ms
162.159.192.181:4177,0.00%,161 ms
162.159.195.244:2506,0.00%,161 ms
162.159.192.137:854,0.00%,161 ms
162.159.192.191:4177,0.00%,161 ms
162.159.195.28:8854,0.00%,161 ms
162.159.195.47:939,0.00%,161 ms
162.159.192.74:4198,0.00%,161 ms
162.159.195.158:4177,0.00%,161 ms
162.159.192.205:928,0.00%,161 ms
162.159.192.101:2408,0.00%,161 ms
162.159.192.100:942,0.00%,161 ms
162.159.192.211:1701,0.00%,161 ms
162.159.195.188:1018,0.00%,161 ms
162.159.195.212:988,0.00%,161 ms
162.159.195.254:988,0.00%,161 ms
162.159.195.175:4177,0.00%,161 ms
162.159.195.254:2506,0.00%,161 ms
162.159.192.33:7103,0.00%,161 ms
162.159.195.169:955,0.00%,161 ms
162.159.195.252:988,0.00%,161 ms
162.159.192.12:7103,0.00%,161 ms
162.159.195.9:8854,0.00%,161 ms
162.159.195.129:908,0.00%,161 ms
162.159.195.49:1010,0.00%,161 ms
162.159.195.65:1180,0.00%,161 ms
162.159.195.8:8854,0.00%,161 ms
